adenosine,Best,Yeast-derived ingredient that functions as a good soothing and skin-restoring agent.
adenosine triphosphate,Best,"An organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids. All..."
adipic acid/neopentyl glycol/trimellitic anhydride copolymer,Good,A synthetic polymer.
advanced glycation endproduct (AGE),Poor,"Advanced glycation endproducts, also known as AGEs, are caused by the body's major fuel source, namely glucose."
Aerocarpus santalinus,Poor,
Aesculus hippocastanum,Good,
agar,Good,
AGE,Poor,
Agrimonia eupatoria leaf extract,Average,Research shows this plant extract has antioxidant properties....
AHA,Best,"AHA, also known as alpha hydroxy acid, exfoliates skin and improves signs of aging, dry skin and an uneven skin tone."
Ahnfeltia concinna extract,Good,
ahnfeltia extract,Good,
Ahnfeltiopsis concinna extract,Good,Ahnfeltiopsis concinna extract is a type of red algae with calming and hydrating properties for skin.
alanine,Good,
Alaria esculenta,Good,
albumin,Poor,"Found in egg white, and can leave a film over skin. It can constrict skin temporarily, which can..."
alcloxa,Poor,"More technically known as aluminum chlorhydroxy allantoinate, alcloxa has constricting properties..."
alcohol,Average,A group of organic compounds with a vast range of forms and uses in cosmetics...
Aleurites moluccana seed oil,Best,
alfalfa extract,Best,Can be an antioxidant in skincare products…
algae,Good,"Algae are very simple, chlorophyll-containing organisms in a family that includes more than 20,000..."
algae extract,Good,
algin,Good,Brown algae.
aliphatic hydrocarbon,Good,Hydrocarbon contained in natural gas and mineral oils. It is a synthetic fluid with varying...
alkaline,Poor,Anything with a pH higher than 7 is alkaline; a pH below 7 is acidic. Water has a pH of 7; skin has...
alkyloamides,Average,"Identified on skin-care product labels as DEA, triethanolamine (TEA), and monoethanolamine (MEA),..."
allantoin,Best,By-product of uric acid extracted from urea and considered an effective skin-soothing and skin-conditioning agent.
allyl methacrylates crosspolymer,Good,"A synthetic, non-aqueous polymer whose chief function is film-forming agent."
almond oil,Best,Non-volatile oil extracted from the seeds of almonds and used as an emollient.
Aloe barbadensis,Good,
aloe barbadensis leaf juice extract,Good,
aloe barbadensis leaf juice powder,Good,This form of aloe is the powder form of the aloe barbadensis leaf plant...
aloe extract,Good,
aloe juice,Good,
aloe vera,Good,There is no real evidence that aloe vera (Aloe barbadenis) helps the skin in any significant way....
alpha bisabolol,Best,
alpha glucan oligosaccharide,Best,Emollient used in cosmetics that also has water-binding properties.
alpha hydroxy acid,Best,
alpha isomethyl ionone,Poor,Alpha isomethyl ionone is a fragrance ingredient that must be listed on products that contain it due to its risk of causing a sensitized reaction.
alpha lipoic acid,Best,"Alpha lipoic acid is an enzyme that, when applied topically on skin, appears to be a very good antioxidant, and is believed to have numerous soothing effects."
alpha-tocopherol,Best,
Alteromonas ferment extract,Good,Alteromonas\xa0is found in deep areas of seawater.
Althaea rosea,Good,
Althea officinalis,Best,Latin name for the marshmallow plant.
alumina,Good,"Aluminum oxide, which is used as an abrasive, a thickening agent, and an absorbent in cosmetics."
aluminum,Good,"Aluminum is the most common element on Earth. It's also a common source of confusion in terms of its presence in cosmetics, specifically whether that presence poses a health risk."
Aluminum hydroxide,Good,A synthetic ingredient that functions as an opacifying agent. Secondary uses...
aluminum magnesium silicate,Good,Salt that has absorbent properties.
aluminum powder,Good,Metallic element used as a coloring agent. It is composed of finely ground particles of aluminum....
aluminum silicate,Good,Salt that has absorbent and abrasive properties.
aluminum starch octenylsuccinate,Good,"Powdery thickening agent, absorbent, and anticaking agent used in cosmetics."
aluminum stearate,Good,The aluminum salt of stearic acid that functions as a thickening agent and helps stabilize products.
aluminum sulfate,Poor,It can sensitizing to skin.
amino acid,Best,"Fundamental constituents of all proteins found in the body, such as: alanine, arginine, asparagine,..."
aminobutyric acid,Average,Amino acid that has water-binding properties and may provide soothing benefits for skin. It...
aminomethyl propanediol,Good,Used to adjust pH in cosmetics.
aminomethyl propanol,Good,Synthetic ingredient used in cosmetics as a pH adjuster.
ammonium acryloyldimethyltaurate/VP copolymer,Good,A synthetic polymer and film-forming agent that also serves to thicken cosmetic formulas...
ammonium chloride,Poor,Alkaline salt used as a pH balancer in skincare products; it is not used in concentrations that...
ammonium glycolate,Best,Synthetic form of glycolic acid used as a pH adjuster and exfoliant. It is sometimes paired with...
ammonium hydroxide,Average,"Clear, colorless liquid used in cosmetics to adjust a product's pH level. Ammonium hydroxide is..."
ammonium laureth sulfate,Good,Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle...
ammonium lauryl sulfate,Good,Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle...
amodimethicone,Good,
amygdalic acid,Good,
amyl cinnamate,Poor,Fragrant component.
amyl salicylate,Poor,Fragrant component.
amyris oil,Poor,Fragrant oil. It has no other known benefit for skin.
Anacyclus pyrethrum,Poor,
Anacystis nidulans extract,Good,
Ananas sativus fruit extract,Good,
andiroba oil,Good,Extracted from the Brazilian mahogany tree; it has soothing properties (Source:...
Anethum graveolens,Average,
Angelica archangelica root oil,Poor,Volatile oil obtained from the angelica plant. The oil contains chemical constituents that can be...
Angelica polymorpha sinensis root extract,Poor,
anhydroxylitol,GOOD,"A natural, plant-derived ingredient that acts as a humectant to help skin absorb and retain moisture."
anisaldehyde,Poor,Synthetic fragrance used in cosmetics.
anise,Poor,"Also known as aniseed, it can have antioxidant properties..."
annato extract,Good,"Natural plant colorant derived from the flesh surrounding the seed of Bixa orellana, a shrub native..."
Anthemis nobilis flower extract,Best,
anthocyanin,Best,"Group of naturally occurring substances found in plants that give fruits, vegetables, and plants..."
antioxidant,Best,General term for a large group of natural and synthetic ingredients that work to reduce...
apple fruit extract,Best,"General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically."
apricot kernel,Average,"Often used as an abrasive agent in so-called ""natural"" scrubs. Apricot kernals have irregular and..."
apricot kernel oil,Best,"Emollient plant oil pressed from the seeds of apricots, and similar to other nonfragrant plant oils."
arachidic acid,Good,Derived from peanut oil and used as an emollient and thickening agent in cosmetics.
arachidyl alcohol,Good,Waxy substance used as a thickening agent and emollient in cosmetics.
arachidyl glucoside,Good,"A mild surfactant (cleansing) and emulsifying agent, made from..."
arachidyl propionate,Good,Waxy substance used as a thickening agent and emollient in cosmetics.
Arachis hypogaea extract,Best,Extract of the plant commonly known as the peanut. It can have emollient and skin soothing...
arbutin,Best,"Isolated from the leaves of the bearberry shrub, cranberry, blueberry, some..."
Arctium lappa,Best,
Arctium majus,Best,
Arctostaphylos uva ursi leaf,Best,
Argania spinosa,Best,
argan oil,Best,Non-fragrant plant oil expressed from the kernels of argan trees. Argan oil contains several beneficial lipids and fatty acids for skin...
arginine,Good,Amino acid that has antioxidant properties and can be helpful for soothing skin (Sources: Journal...
Argireline,Average,
arnica extract,Poor,Extract from the plant Arnica montana. There is research showing that when arnica is taken orally...
aroma/flavor,Average,"Seeing ""aroma/flavor"" on an ingredient list can be either good or bad. For example, if the aroma or flavor comes from mint...."
arrowroot,Average,Thickening agent; it has no known benefit for skin.
artemia extract,Good,
Artemisia absinthium extract,Average,
Artemisia vulgaris,Average,
Ascophyllum nodosum,Good,Species of seaweed.
ascorbic acid,Best,Form of vitamin C that has antioxidant properties (Sources: Advances in Experimental Medicine and...
ascorbyl glucosamine,Best,Form of vitamin C that has little research showing it has the antioxidant or brightening...
ascorbyl glucoside,Best,Ascorbyl glucoside is a stable form of vitamin C combined with glucose.When properly formulated and absorbed into...
ascorbyl methylsilanol pectinate,Best,Form of vitamin C that is considered stable and that functions as an antioxidant and thickening...
ascorbyl palmitate,Best,Stable and nonacidic form of vitamin C that is effective as an antioxidant (Source: Biochemical and...
asparagine,Good,
Asparagopsis armata extract,Good,Extract derived from seaweed.
aspartic acid,Good,
astaxanthin,Best,
astaxanthin extract,Best,"Carotenoid (carotene pigment) found in plants, algae, and fish, particularly salmon, that functions..."
Astragalus membranaceus,Best,"Latin name for the Chinese herb Huang-Qi, also known as milk vetch."
Astragalus sinicus,Good,
Astrocaryum murumuru seed butter,Good,A non-fragrant vegetable fat that's nearly solid at room temperature (much like dairy butter). It functions as an emollient ingreident that works to keep...
ATP,Best,
atractylodes macrocephala root powder,Best,A natural plant extract commonly used in Chinese and Korean herbal medicines.
Atractyloydes lancea root extract,Average,"Also known as Chinese Thistle Daisy, this root extract is used in Chinese and Japanese alternative..."
Avena sativa,Best,"See oatmeal, oat bran extract, gluten ingredients…"
avobenzone,Best,Synthetic sunscreen ingredient (also known as Parsol 1789 and butyl methoxydibenzoylmethane) that...
avocado oil,Best,Emollient oil similar to other nonfragrant plant oils. It has antioxidant properties.
awapuhi,Poor,English name for wild ginger.
Azadirachta indica,Poor,
azelaic acid,Best,A type of acid known as a dicarboxylic acid derived from grains that offers numerous benefits when applied to skin.
azelaoyl bis-dipeptide-10,Best,Azelaoyl bis-dipeptide-10 is a synthetic peptide built around naturally-derived azelaic acid that offers brightening and antioxidant benefits.
Azelex,Best,
azuki beans,Average,Legumes that are often ground up for use in skincare scrub products.
azulene,Average,Chamomile extract used primarily as a coloring agent in cosmetics. It can have antioxidant and...
babassu oil,Good,Plant oil that can have emollient properties for skin. There is no research showing it has special...
bakuchiol,Good,An antioxidant found in the seeds and leaves of the plant Psoralea corylifolia...
balm mint extract,Poor,Extract derived from a fragrant plant; it poses some risk of causing skin sensitivity…
balsam peru,Poor,Fatty resin that when applied topically can cause skin sensitivity…
Bambusa vulgaris (bamboo) leaf/stem extract,Best,"Extract from the common bamboo plant. Like many plant extracts, research has shown..."
banana extract,Average,"Extract from banana fruit that has some weak antioxidant properties (Source: Free Radical Research,..."
barberry,Best,"Plant whose primary component, berberine, is an alkaloid that can have soothing properties and..."
barium sulfate,Poor,Mineral used as a whitening agent in cosmetics. It can be sensitizing.
barley extract,Average,"Extract from barley plants. Can have antioxidant properties when ingested, but there is no research..."
batyl alcohol,Good,Derived from glycerin and used as a stabilizing ingredient and skin-conditioning agent.
bay leaf oil,Poor,Has the potential to provide antioxidant benefits for skin…
bearberry extract,Good,"Latin name Arctostaphylos uva ursi, there is research showing that this extract has soothing..."
bee pollen,Poor,"Can have antioxidant properties (Source: Journal of Agricultural Food Chemistry, April 2001, pages..."
beeswax,Good,Substance made by bees to build the walls of their honeycomb. It is a thickening agent that has...
beet root extract,Good,Powdered base of the stem (root) of the Beta vulgaris plant. Used as a coloring agent. As with most...
beheneth-5,Good,A synthetic or plant-derived derivative of polyethylene glycol and behenyl alcohol that functions as an emulsifier and can also be a surfactant.
behenic acid,Good,Fatty acid used as a thickening agent and surfactant.
behentrimonium chloride,Good,Skin-conditioning agent and emulsifier.
behenyl alcohol,Good,Thickening agent used in cosmetics. It is not related to irritating forms of alcohol.
Bellis perennis,Poor,
bentonite,Good,"Type of clay that is used as an absorbent in cosmetics. It can be drying for skin, though its..."
benzalkonium chloride,Average,Used as a preservative in skincare products. There is no research showing it...
benzephenone-3,Good,"Also called oxybenzone, a sunscreen agent that protects skin primarily from the sun’s UVB rays and..."
benzoic acid,Good,Preservative used in skincare products; it is considered less sensitizing than some other forms of...
benzoin extract,Poor,Balsam resin that has some fragrant properties; it may also be sensitizing to skin…
benzophenone,Good,Group of compounds used in cosmetics as sunscreen agents to protect mostly from UVB radiation and...
benzothonium chloride,Good,Compound used as a preservative in cosmetics. It is generally considered less sensitizing…
benzoyl peroxide,Best,Benzoyl peroxide is considered the most effective over-the-counter topical acne treatment. Learn more.
benzyl alcohol,Good,"An organic alcohol that occurs naturally in some fruits (apricots, cranberries) and teas."
benzyl salicylate,Poor,"A volatile fragrance chemical with a sweet, floral odor used to impart scent to cosmetic products and perfumes."
Berberis aristata,Best,
bergamot oil,Poor,"A volatile citrus oil that, when used topically, is a photosensitizer..."
Bertholletia excelsa extract,Good,
beta-carotene,Good,"Member of the carotenoid family. There are hundreds of carotenoids, including lycopene and lutein...."
beta-glucan,Best,Polysaccharide sugar derived from yeast or oats. It has some antioxidant properties and is a skin-soothing agent.
beta hydroxy acid,Best,
betaine salicylate,Good,An ingredient derived from sugar beets that is sometimes used as an alternative to...
beta-sitosterol,Best,"Beta-sitosterol is a fatty acid-type ingredient derived from plants, and is similar to cholesterol..."
Beta vulgaris root extract,Good,
Betula alba,Good,
BHA (beta hydroxy acid),Best,"BHA, or beta hydroxy acid, is more commonly known as salicylic acid."
BHT,Average,"Butylated hydroxytoluene, a potent synthetic antioxidant that also has negative properties when..."
bifida ferment lysate,Good,A specific type of yeast obtained by the fermentation of Bifida...
bilberry extract,Good,Some research shows bilberry (vaccinium myrtillis) to be effective as an antioxidant when ingested...
bioflavonoid,Best,Diverse range of substances that are components of many fruits and vegetables. Many have been shown...
biotin,Good,A water-soluble substance produced in the body by certain types of...
birch bark extract,Good,Extract derived from the plant Betula alba\xa0(common name white birch). It can have potent...
birch leaf extract,Good,
bisabolol,Best,Can be extracted from chamomile or derived synthetically. It is an anti-irritant.
bis-diglyceryl polyacyladipate,Good,Can be extracted from chamomile or derived synthetically. It is an skin-soothing ingredient.
bismuth oxychloride,Average,"Also known as synthetic pearl, it’s the primary ingredient included in most powders that are referred to as..."
bis-PEG-18 methyl ether dimethyl silane,Good,A synthetic skin conditioning agent and surfactant belonging to the chemical class of siloxanes and...
bis-phenylpropyl dimethicone,Good,"A synthetic, colorless, silicone-based polymer that..."
bitter orange flower,Poor,
blackberry,Best,Berries that have antioxidant properties...
black cohosh,Average,There is no research showing that black cohosh can have this or any effect…
black currant oil,Best,Non-volatile plant oil.
black elderberry,Good,"When taken orally, this has antioxidant properties (Source: Journal of Agricultural Food..."
black locust extract,Poor,"Extract that can have antioxidant properties, although it also may have harmful..."
black mulberry,Good,"Due to its arbutin content, this extract can have some value in improving the look of discolorations...."
black pepper extract and oil,Poor,It can cause significant skin sensitivity...
black raspberry,Best,Fruit that has antioxidant properties...
black tea,Best,
bladderwrack extract,Best,Extract derived from seaweed; it can be an effective antioxidant and has water-binding properties...
bloodwort,Poor,Also known as yarrow.
blue 1,Good,
blue 1 lake,Good,
Boerhavia diffusa root extract,Best,Extract from a flowering plant. Animal studies have shown that this plant has strong...
bois de rose oil,Poor,
bois oil,Poor,Fragrant oil that has no research showing it has benefit for skin (Source: www.naturaldatabase.com).
borage seed extract,Best,"Extract of the plant Borago officinalis, it can have skni-soothing properties..."
borage seed oil,Best,Non-fragrant plant oil that contains gamma linolenic acid and other essential fatty acids for skin.
Borago officinalis extract,Best,
Borago officinalis seed oil,Best,
borate,Poor,Group of compounds used in cosmetics in small quantities primarily as pH adjusters (they have a pH...
borax,Poor,"Also known as sodium borate decahydrate, borax is a mineral composed of sodium, boron, oxygen, and..."
boric acid,Good,May have skin soothing and restoring benefits…
boron nitride,Good,"Synthetic, inorganic powder, which in cosmetics has absorbent properties similar to those of..."
Boswellia carterii,Poor,
Boswellia serrata extract,Average,"An extract from the gum resin of a tree and also a source of Indian frankincense, this plant extract has both positive and negative qualities for skin."
botanicals,Average,"General term for a large group of natural ingredients. Botanicals may or may not be organic, and..."
boysenberry,Best,"Berry that can have potent antioxidant properties (Source: Journal of Agricultural Food Chemistry,..."
Brassica campestris,Best,
Brazil nut extract,Good,Extract for which there is a small amount of research showing it can have antioxidant properties...
broad spectrum,Good,"Term that, when applied to sunscreen, refers to a sunscreen’s ability to protect the skin from both..."
bromelain,Good,"Bromelain is an extract from the pineapple that contains, among other components, various..."
bronopol,Poor,"Technical name 2-bromo-2-nitropropane-1,3-diol, a formaldehyde-releasing preservative (Source:..."
bronze powder,Good,Mineral coloring agent derived from copper. Permanently listed (since 1977) by the FDA as a safe...
Buddleja davidii extract,Best,Plant also known as summer lilac or butterfly bush (because the flowers are a food source for...
bumetrizole,Good,Sunscreen ingredient that absorbs primarily UVB light.
Bupleurum falcatum extract,Average,A plant used in Chinese medicine for a varitety of ailments ranging from the common cold to liver...
burdock root,Best,Plant extract whose active constituents are skin soothing and antioxidant…
butyl acetate,Good,Solvent used in nail polish and many other products.
butylene glycol,Good,"Commonly-used ingredient that has multiple functions in cosmetics, including...."
butyl methoxydibenzoylmethane,Best,
butylparaben,Good,Parabens are a group of controversial preservatives that include butylparaben...
butylphenyl methylpropional,Poor,Synthetic fragrance ingredient with a strong floral scent.
Butyrospermum fruit,Best,"Fruit from the karite tree, scientific name Butyrospermum parkii, from which the fat is obtained to..."
Butyrospermum parkii,Best,
Butyrosperum parkii (shea) butter extract,Best,Butyrosperum parkii (shea) butter extract doesn’t just have a rich texture; it’s also a rich source of antioxidants and replenishing antioxidants.
Buxus chinensis,Best,
C10-30 cholesterol/lanosterol esters,Best,Blend of cholesterol and fatty acid ester from lanolin. Functions as a skin conditioning agent.
C11-15 pareth-7,Good,"C11-15 pareth-7 is a lightweight, synthetic mixture of fatty alcohols and polyethylene glycols that functions as an emulsifier and surfactant."
C12-15 alkyl benzoate,Good,Synthetic ingredient used as an emollient and texture enhancing agent in cosmetics.
C12-16 pareth-9,Good,"C12-16 pareth-9 is a lightweight, synthetic mixture of fatty alcohols and polyethylene glycols that functions as an emulsifier and surfactant."
C12-18 acid triglyceride,Good,Used as an emollient and thickening agent in cosmetics.
C13-14 isoparaffin,Good,A petroleum-derived ingredient whose wax-like texture functions as a thickening or gelling agent.
C18-36 acid triglyceride,Good,Used as an emollient and thickening agent in cosmetics.
C20-40 pareth-40,Good,Mixture of polyethylene glycols of various molecular weight that can function as stabilizing...
caffeic acid,Best,Antioxidant that has multiple benefits for skin…
caffeine,Average,Caffeine is the chief stimulant in beverages such as coffee and tea. It’s often included in skincare products with claims...
cajeputi oil,Poor,
calamine,Poor,"Preparation of zinc carbonate, colored with ferric oxide (a form of rust). Zinc carbonate is a..."
calcium ascorbate,Best,"Form of vitamin C; other forms include ascorbic acid, L-ascorbic acid, ascorbyl palmitate, and..."
calcium carbonate,Good,Chalk; used as an absorbent in cosmetics.
calcium d-pantetheine-s-sulfonate,Good,
calcium gluconate,Good,Calcium is an essential mineral for the body. A small amount of research shows calcium gluconate...
calcium pantothenate,Good,Also known as pantothenic acid.
calendula extract,Good,"Extract derived from the plant commonly known as pot marigold, there is little research showing..."
Calendula officinalis flower extract,Good,
Calluna vulgaris flower extract,Best,"Also known as heather extract, this plant has skin-soothing properties..."
Calophyllum inophyllum seed oil,Good,
Camellia japonica,Best,The leaf has been shown to be an antioxidant...
Camellia oleifera,Best,
Camellia sinensis,Best,
camphor,Poor,"Aromatic substance obtained from the wood of a tree common to Southeast Asia, Cinnamomum camphora,..."
cananga extract,Poor,"Fragrance used in cosmetics; it can be sensitizing to skin, much like ylang ylang."
Cananga odorata,Poor,
candelilla/jojoba/rice bran polyglyceryl-3 esters,Best,"A natural mixture of polyglycerin-3, candelilla wax, jojoba seed wax, and rice bran wax..."
candelilla wax,Good,Extract derived from candelilla plants; used as a thickening agent and emollient to give products...
Cannabis sativa L. oil,Good,
canola oil,Best,Plant lipid that has skin restoring and soothing properties…
caprooyl phytosphingosine,Best,A mixture of fatty acids caproic acid and phytosphingosine.
caprooyl sphingosine,Best,A mixture of fatty acids caproic acid and sphingosine.
caprooyl tetrapeptide-3,Best, 'A synthetic or plant-derived signal peptide that’s said to help to boost the...
caprylic/capric triglyceride,Best,"Derived from coconut oil and glycerin, it’s considered an excellent emollient and skin-replenishing ingredient."
capryloyl glycerin/sebacic acid copolymer,Good,A naturally-derived (coconut and castor oil) or synthetic ingredient...
capryloyl glycine,Good, 'A synthetic amino acid derivative that function as a conditioning agent or...
caprylyl caprylate/caprate,Good,A synthetic ester blend of medium chain fatty acids and fatty alcohol that works as an emollient.
caprylyl glycol,Good,Skin and hair conditioning agent that may be plant-derived or synthetic. Often used as part of a...
caprylyl methicone,Good,
capsaicin,Poor,"Component of capsicum. When used topically, capsaicin can prevent the transmission of pain. It is..."
capsicum,Poor,"Large group of plants consisting primarily of the pepper family, including chili peppers and..."
capsicum oleoresin,Poor,Fatty resin derived from capsicum plants. It can be sensitizing to skin...
caramel,Good,Natural coloring agent.
carbomer,Good,Group of thickening agents used primarily to create gel-like formulations.
carbopol,Good,
carboxylic acid,Best,
cardamom,Poor,"Plant of the ginger family, used as fragrance in cosmetics. Terpene, one of its major constituents,..."
carmine,Good,Natural red color that comes from the dried female cochineal beetle. It is sometimes used to color...
carnauba wax,Good,"Natural, hard wax obtained from the leaves of palm trees. Used primarily as a thickening agent, but..."
carnitine,Best,Naturally occurring amino acid. Deficiencies of this small but essential component can result in...
carnosic acid,Best,Component of rosemary that is an antioxidant...
carnosine,Best,"Composed of amino acids, it has soothing and antioxidant properties..."
carnosol acid,Best,
carrageenan,Good,Seaweed gum used in cosmetics as a thickening agent with water-binding properties.
carrot oil,Best,Emollient plant oil similar to other nonfragrant plant oils.
Carthamus tinctorius oil,Best,
carvone,Poor,Essential oil used as a flavoring agent and fragrance component in cosmetics. It can be a...
Carya illinoensis oil,Good,
casein,Good,Substance derived from milk protein that may have some antioxidant properties when applied...
Castanea sativa seed extract,Good,
castor isostearate succinate,Good,"A mix of esters formed by the reaction of castor seed oil, isostearic acid, and succinic acid. This ingredient functions..."
castor oil,Good,"Vegetable oil derived from the castor bean. It is used in cosmetics as an emollient, though its..."
catalase,Best,Enzyme that decomposes hydrogen peroxide into water and oxygen and that has significant antioxidant...
Caulerpa taxifolia extract,Good,
cedarwood,Poor,Fragrant plant extract. There is evidence that cedarwood oil is sensitizing...
Cedrus atlantica bark extract,Poor,Fragrant oil that can aggravate skin...
cellulose,Good,Primary fiber component of plants. Used in cosmetics as a thickening agent and to bind other...
Cellulose gum,Good,Any of various fibrous substances derived from plants. Cellulose gum is a natural ingredient..
Centaurea cyanus,Best,
Centella asiatica,Best,"Extract of herb that may be listed on labels as asiatic acid, hydrocotyl, or gotu kola. It has..."
cephalin,Best,Phospholipid.
Cera alba,Good,See beeswax...
cera microcristallina,Good,
ceramide AP,Best,
ceramide EOP,Best,
ceramide EOS,Best,
ceramide NG,Best,
ceramide NP,Best,One of several types of ceramides.
ceramide NS,Best,
ceramides,Best,"Ceramides are naturally occurring, long chains of lipids (fats) that are major components of skin’s outer..."
ceresin,Good,"Derived from clay, ceresin is a waxy ingredient used as a thickening agent in cosmetics. It can be..."
ceteareth-20,Good,Fatty alcohol that is used to thicken cosmetics and keep ingredients mixed together and stable.
ceteareth-25,Good,A fatty alcohol that functions as an emulsifier and surfactant in cosmetics.
cetearyl alcohol,Good,"Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other..."
cetearyl ethylhexanoate,Good,Oil-like liquid that functions as an emollient to prevent skin from losing moisture. Also...
cetearyl glucoside,Good,A blend of cetearyl alcohol and glucose that functions as an emulsifier.
cetearyl octanoate,Good,
cetyl acetate,Good,A mixture of cetyl alcohol and acetic acid used as a skin-replenishing agent and emollient.
cetyl alcohol,Good,"Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other..."
cetyl dimethicone,Good,Silicone polymer that functions as skin-conditioning agent.
cetyl dimethicone copolyol,Good,
cetyl esters,Good,Synthetic wax used in cosmetics as a thickening agent and emollient.
cetyl hydroxyethylcellulose,Good,A mixture of cetyl alcohol and Hydroxyethylcellulose. It functions as thickener and stabilizing...
cetyl palmitate,Good,"The ester of cetyl palmitate and palmitic acid, this thickener and emollient helps smooth and condition dry skin while preventing moisture loss."
cetyl PEG/PPG-10/1-dimethicone,Good,Silicone that functions as a skin-conditioning agent and emulsifier.
chamomile,Best,"Ingredient derived from plant species Chamomilla recutita, Matricaria recutita, and Matricaria chamomilla..."
Chamomilla recutita flower extract,Best,
charcoal,Good,Primarily carbon substance formed by charring organic material in absence of oxygen. One...
charcoal powder,Good,Primarily carbon substance formed by charring organic material in absence of oxygen...
chelating agent,Good,"Any of numerous ingredients that bind with metal ions or metallic compounds, preventing them from..."
cherry extract,Average,"Also known as wild cherry and sweet cherry, this fruit is a natural source of vitamin C and..."
China clay,Good,
chitosan,Best,"Derived from chitin, a polysaccharide found in the exoskeletons of shrimp, lobster, and crabs. It..."
chlorella,Good,
chlorophene,Good,Used as a preservative in cosmetics.
chloroxylenol,Good,Chemical compound used as a preservative and cleansing agent due to its action...
chlorphenesin,Good,Type of alcohol used as a preservative in cosmetics...
cholecalciferol,Good,Technical name for vitamin D.
cholesterol,Best,"The surface of skin depends on the stratum corneum lipid matrix, which..."
choline,Best,"Part of the vitamin B complex and a constituent of many other biologically important molecules,..."
chondroitin sulfate,Best,
Chondrus crispus,Good,Form of red seaweed.
chromium hydroxide green,Good,Earth mineral used as a coloring agent/additive and permanently listed (as of 1977) by the FDA for...
chromium oxide green,Good,
chrysanthemum extract,Average,Can have soothing benefit for skin.
Chrysanthemum parthenium extract,Average,
Cichorium intybus,Good,"Source of a plant extract with antioxidant properties (Source: Archives of Pharmaceutical Research,..."
Cimicifuga racemosa root extract,Average,
Cinnamomum,Poor,
Cinnamomum camphora,Poor,
cinnamon,Poor,Can have antioxidant properties when applied to skin...
cinnamyl alcohol,Poor,A volatile fragrance ingredient that contains extracts from cinnamon and balsam of Peru...
citrate buffer,Good,Citrate buffer is a buffered mixture of sodium citrate and citric acid and is used in cosmetics as a pH adjuster.
citric acid,Good,Extract derived from citrus and used primarily to adjust the pH of products to prevent them from...
citronellol,Poor,"A volatile fragrance chemical extracted from geranium, rose, and other plants, citronellol has a characteristic grassy, citrus-like scent."
Citrullus colocynthis,Poor,Bitter apple; considered sensitizing to skin.
Citrus amara,Poor,
Citrus aurantifolia,Poor,
